date,jdate,high,low,open,close,volume
4/20/2020,1399-02-01,709012,691277,691277,708995,6775869348
4/21/2020,1399-02-02,726964,716060,716060,726137,6766131536
4/22/2020,1399-02-03,741952,729307,729307,741902,5832074074
4/25/2020,1399-02-06,770549,750464,750464,769373,3268853466
4/26/2020,1399-02-07,798105,780468,780468,797813,8728022060
4/27/2020,1399-02-08,820534,806172,806172,820505,7008109176
4/28/2020,1399-02-09,846008,830580,830580,845952,6391503110
4/29/2020,1399-02-10,878434,853992,853992,878094,4435490859
5/2/2020,1399-02-13,917501,892690,892690,917406,3561666228
5/3/2020,1399-02-14,964308,932736,932736,956200,5252148608
5/4/2020,1399-02-15,979106,956324,956324,979105,9435375771
5/5/2020,1399-02-16,995966,978019,992991,980571,18441732371
5/6/2020,1399-02-17,980515,965587,980515,977924,12207169240
5/9/2020,1399-02-20,1020910,990339,990339,1020218,6121409736
5/10/2020,1399-02-21,1044560,1033830,1033830,1043253,5912743990
5/11/2020,1399-02-22,1048820,1043070,1048820,1047763,7000008924
5/12/2020,1399-02-23,1045500,1020310,1045500,1021445,22026888743
5/13/2020,1399-02-24,1026060,1008010,1009360,1017662,16262242442
5/16/2020,1399-02-27,1016653,982410,1016653,987475,5506646850
5/17/2020,1399-02-28,979444,964004,979444,968460,10369705009
5/18/2020,1399-02-29,995184,978644,978644,995181,11443245251
5/19/2020,1399-02-30,1008560,1000870,1004700,1002125,8732531148
5/20/2020,1399-02-31,996750,985119,996630,986759,9267146855
5/23/2020,1399-03-03,986677,959306,986677,959840,11365797623
5/26/2020,1399-03-06,946195,926121,946195,926133,7377826258
5/27/2020,1399-03-07,938557,913435,913866,938550,11156199580
5/30/2020,1399-03-10,973495,939162,939162,973495,7108519719
5/31/2020,1399-03-11,987440,970270,983773,970413,12219515758
6/1/2020,1399-03-12,988120,971214,971583,988121,8803129433
6/2/2020,1399-03-13,1028530,996019,996019,1028538,10498413248
6/6/2020,1399-03-17,1068860,1046170,1046170,1068844,8921162776
6/7/2020,1399-03-18,1116280,1090970,1090970,1116187,6664794532
6/8/2020,1399-03-19,1127890,1114200,1121810,1118912,10434326227
6/9/2020,1399-03-20,1129080,1117340,1117340,1118118,9106492978
6/10/2020,1399-03-21,1153670,1127560,1127560,1153680,10191255302
6/13/2020,1399-03-24,1190500,1174020,1174020,1189807,7411217143
6/14/2020,1399-03-25,1201870,1178410,1201870,1185377,12626895539
6/15/2020,1399-03-26,1205650,1191070,1191070,1200121,7828202921
6/16/2020,1399-03-27,1229700,1204110,1204110,1229702,6261831081
6/20/2020,1399-03-31,1270600,1244900,1244900,1270603,5981561776
6/21/2020,1399-04-01,1300830,1292660,1292660,1300828,11160501191
6/22/2020,1399-04-02,1341530,1315830,1315830,1341532,8995572496
6/23/2020,1399-04-03,1391810,1364210,1364210,1391041,6410103386
6/24/2020,1399-04-04,1419430,1393580,1393580,1419439,5866572950
6/27/2020,1399-04-07,1466280,1436090,1436090,1466276,5386512550
6/28/2020,1399-04-08,1499890,1487660,1492710,1491952,15702101123
6/29/2020,1399-04-09,1481920,1460440,1476890,1481924,11969542093
6/30/2020,1399-04-10,1546850,1502960,1502960,1546850,5424660373
